id,text,coordinates,retweeted,retweet_count,user.followers_count,user.statuses_count,user.friend_count,user.location,user.time_zone,created_at,fname
880757246271004672,"We're #hiring! Read about our latest #job opening here: Care Assistant - NIGHTS - https://t.co/H2UOjjg2iP #Healthcare #Bath, England","{'coordinates': [-2.3599039, 51.375801], 'type': 'Point'}",False,0,363,13,,"Somerset, UK",Pacific Time (US & Canada),2017-06-30 11:57:45,stream30Jun.csv
880757386239242241,@joan_myers Like all @NELFT staff,,False,0,230,709,,NELFT,,2017-06-30 11:58:19,stream30Jun.csv
880757438013734912,"@British_Airways @AmericanAir BA should be dropped from one world. Shocking treatment of AA CK customers. No info, rude staff BA7303",,False,0,452,381,,New York,Central Time (US & Canada),2017-06-30 11:58:31,stream30Jun.csv
880757476735545344,Creating the wall blanket #staffretreat https://t.co/TN272qeCpS,,False,0,162,1019,,"Seven Kings, Ilford, Essex",Pacific Time (US & Canada),2017-06-30 11:58:40,stream30Jun.csv
880757781393014786,"I'm hoping to support the development of 'confident, resilient &amp; adaptable' teaching staff too on the pgcertHE.… https://t.co/eRZfwgrOeh",,False,0,942,7023,,,,2017-06-30 11:59:53,stream30Jun.csv
880757864456790016,"Join the Glanbia team! See our latest #job opening here: https://t.co/djPo5Ar6jb #CustomerService #Dublin, Baile Átha Cliath #Hiring","{'coordinates': [-6.2603097, 53.3498053], 'type': 'Point'}",False,0,157,128,,,,2017-06-30 12:00:13,stream30Jun.csv
880757932043902977,Join the Broadsoft team! See our latest #job opening here: https://t.co/6W2Movae9S #technology #Engineering #Horsham #Hiring #CareerArc,"{'coordinates': [-0.3349652, 51.0606102], 'type': 'Point'}",False,0,167,45,,,Pacific Time (US & Canada),2017-06-30 12:00:29,stream30Jun.csv
880758307430047745,On our 18th we ought to pay tribute to the dedication and commitment of @OfficialSYP staff members. We are all so truly grateful! #SYPat18,,False,0,485,4128,,Argyll & Bute,Edinburgh,2017-06-30 12:01:58,stream30Jun.csv
880759195477389312,Staff style....Mr Stott in dress down Friday attire! @slowear_incotex  boglioliofficial  #zanone… https://t.co/1MIbr9tveQ,"{'coordinates': [-2.24890351, 53.48093366], 'type': 'Point'}",False,0,503,1487,,"manchester, uk",London,2017-06-30 12:05:30,stream30Jun.csv
880760137765355525,"We're #hiring! Read about our latest #job opening here: Commercial Support Executive - https://t.co/W6YXQm6C1E #Guildford, England","{'coordinates': [-0.570409, 51.23622], 'type': 'Point'}",False,0,757,163,,London,Eastern Time (US & Canada),2017-06-30 12:09:15,stream30Jun.csv
880760169348595712,"Charity should be practiced by all, should not be a sector. Most charities benefit service users some while abusing staff. Wrong!",,False,0,74759,13350,,"Nottingham, England",London,2017-06-30 12:09:22,stream30Jun.csv
880760450148958208,Another great example of staff using the knowledge gained at our @AfN_UK_ certified toddlers training #earlyyears… https://t.co/1ulrLGNajg,,False,0,382,365,,"London, England",London,2017-06-30 12:10:29,stream30Jun.csv
880760993395220481,My dads new company has different chefs in everyday to cook lunch for the staff 🙃🙃🙃,,False,0,347,10372,,20,Atlantic Time (Canada),2017-06-30 12:12:39,stream30Jun.csv
880761033551491072,Had a great morning with a group of UniLifers @StaffsUni. What a fantastically #engaged group of young people. #unilife2017 #ProudToBeStaffs,,False,0,155,343,,"Burntwood, England",,2017-06-30 12:12:48,stream30Jun.csv
